model,accuracy,precision,recall,f1,roc_auc
DecisionTree,1.0,1.0,1.0,1.0,1.0
LogReg,0.9895052473763118,0.997920997920998,0.96,0.9785932721712538,0.9998747501665556
KNN,0.936031984007996,0.9744897959183674,0.764,0.8565022421524664,0.9806542305129913
GaussianNB,0.5247376311844077,0.2995555555555556,0.674,0.4147692307692308,0.574508327781479
